ID,question,choice_a,choice_b,choice_c,answer,coding_language,category,method
121,"What is the output of the following code snippet?
int i = 0;
while (i < 5) {
    System.out.print(i);
    i++;
}",null,null,null,01234,Java,control flow,flash card
122,"In Java, which loop is suitable for situations where the loop body needs to execute at least once?",null,null,null,do-while loop,Java,control flow,flash card
123,What is the primary purpose of the break statement in Java?,null,null,null,To exit the current loop or switch statement,Java,control flow,flash card
124,"When a variable is declared inside a method, in what scope is it accessible?",null,null,null,Method scope,Java,control flow,flash card
125,Which of the following statements is true about recursion in Java?,null,null,null,Recursion can lead to a stack overflow if not handled properly.,Java,control flow,flash card
126,"What is the output of the following code snippet?
for (int i = 0; i < 5; i++) {
    if (i % 2 == 0) {
        continue;
    }
    System.out.print(i);
}",null,null,null,135,Java,control flow,flash card
127,"In Java, which statement is used to define a constant variable?",null,null,null,final,Java,control flow,flash card
128,What is the purpose of the default case in a Java switch statement?,null,null,null,It is executed when none of the cases match.,Java,control flow,flash card
129,What does the this keyword refer to in Java?,null,null,null,The current class instance,Java,control flow,flash card
130,Which loop construct is used for iterating over elements in an array or collection in Java?,null,null,null,for-each loop,Java,control flow,flash card
131,What is the main difference between the while loop and the do-while loop in Java?,null,null,null,The do-while loop always executes its body at least once.,Java,control flow,flash card
132,What is the scope of a local variable declared inside a for loop in Java?,null,null,null,Block scope,Java,control flow,flash card
133,"In Java, what is the purpose of the continue statement within a loop?",null,null,null,To skip the current iteration and continue with the next,Java,control flow,flash card
134,Which keyword is used to exit from a loop prematurely in Java?,null,null,null,break,Java,control flow,flash card
135,"In a Java for loop, what are the three components usually separated by semicolons?",null,null,null,"Initialization, condition, increment",Java,control flow,flash card
136,Which of the following is true about the switch statement in Java?,null,null,null,Each case block requires a break statement.,Java,control flow,flash card
137,What does the void keyword represent in Java?,null,null,null,It indicates a method returns nothing.,Java,control flow,flash card
138,"In Java, what is the primary role of the else keyword in an if-else statement?",null,null,null,To define an alternative set of actions if the if condition is false.,Java,control flow,flash card
139,Which of the following is true about labeled break and continue statements in Java?,null,null,null,They allow you to specify which loop to break or continue in nested loops.,Java,control flow,flash card
140,What is the main difference between the if statement and the switch statement in Java?,null,null,null,"The switch statement evaluates a variable against a list of possible values, while the if statement allows more complex conditions.",Java,control flow,flash card
141,Which data structure in Java is typically used to implement a Last-In-First-Out (LIFO) behavior?,null,null,null,Stack,Java,declaration,flash card
142,What is the correct way to declare and initialize an integer variable in Java?,null,null,null,int x = 5;,Java,declaration,flash card
143,How do you declare an empty array of integers in Java?,null,null,null,int[] arr;,Java,declaration,flash card
144,What is the correct way to declare a generic ArrayList that stores strings in Java?,null,null,null,ArrayList<String> list = new ArrayList<String>();,Java,declaration,flash card
145,"To declare a constant variable in Java, you should use the keyword:",null,null,null,final,Java,declaration,flash card
146,How would you declare a two-dimensional array of integers in Java with dimensions 3x4?,null,null,null,int[][] matrix = new int[3][4];,Java,declaration,flash card
147,Which keyword is used to declare a class in Java?,null,null,null,class,Java,declaration,flash card
148,"To declare and initialize a constant string in Java, you would use the keyword:",null,null,null,final,Java,declaration,flash card
149,What is the correct way to declare and initialize a double variable with the value 3.14 in Java?,null,null,null,double pi = 3.14;,Java,declaration,flash card
