ID,question,choice_a,choice_b,choice_c,answer,coding_language,category,method
241,Which of the following keywords is used to define a loop in Ruby?,loop,while,execute,B,Ruby,control flow,multiple choice
242,What does the break keyword do in a loop in Ruby?,Continues to the next iteration of the loop.,Exits the loop prematurely.,Restarts the loop from the beginning.,B,Ruby,control flow,multiple choice
243,"In Ruby, which keyword is used to define a conditional branch?",check,if,switch,B,Ruby,control flow,multiple choice
244,What is the purpose of the else clause in an if statement in Ruby?,To execute a block of code if the condition is true.,To handle exceptions.,To execute a block of code if the condition is false.,C,Ruby,control flow,multiple choice
245,"In Ruby, what is the scope of a local variable defined inside a block or method?",Global scope,Class scope,Block or method scope,C,Ruby,control flow,multiple choice
246,Which of the following loops in Ruby will always execute at least once?,while,for,until,C,Ruby,control flow,multiple choice
247,What is the purpose of the next keyword in a loop in Ruby?,Ends the loop.,Skips the current iteration and continues with the next.,Restarts the loop from the beginning.,B,Ruby,control flow,multiple choice
248,"In Ruby, what does the elsif keyword allow you to do in an if statement?",Combine multiple conditions in a single if statement.,Define an else block.,Define a new if statement within another if statement.,A,Ruby,control flow,multiple choice
249,Which keyword is used to define a method in Ruby?,define,func,def,C,Ruby,control flow,multiple choice
250,What does the case keyword allow you to do in Ruby?,Define a class.,Create a switch statement for multiple conditional branches.,Write a comment.,B,Ruby,control flow,multiple choice
251,"In Ruby, which loop is used to iterate over a collection of elements like an array or a range?",repeat,for,each,C,Ruby,control flow,multiple choice
252,What does the unless keyword do in Ruby?,It reverses the meaning of an if condition.,It defines a block of code that always executes.,It is used to declare a class.,A,Ruby,control flow,multiple choice
253,When is the unless clause executed in Ruby?,When the condition is true.,When the condition is false.,It is always executed.,B,Ruby,control flow,multiple choice
254,What is the purpose of the retry keyword in Ruby?,It repeats the loop from the beginning.,It exits the loop.,It raises an error.,A,Ruby,control flow,multiple choice
255,How do you define a one-line conditional statement in Ruby?,if condition then code end,if condition { code },code if condition,C,Ruby,control flow,multiple choice
256,What does the unless keyword in Ruby typically work well with?,Positive conditions,Negative conditions,Nested loops,B,Ruby,control flow,multiple choice
257,"In Ruby, which keyword is used to prematurely exit a loop iteration and jump to the next iteration?",next,redo,break,A,Ruby,control flow,multiple choice
258,What is the purpose of the while keyword in Ruby?,It defines a block of code that always executes.,"It specifies a condition that, if true, allows code to execute.",It defines a class.,B,Ruby,control flow,multiple choice
259,Which keyword is used in Ruby to catch and handle exceptions?,try,exception,begin,C,Ruby,control flow,multiple choice
260,What is the purpose of the case statement in Ruby?,It creates a switch statement to select between multiple code blocks.,It defines a class.,It combines multiple conditions in a single if statement.,A,Ruby,control flow,multiple choice
261,How do you create an empty array in Ruby?,array = [],array = {},array = new Array(),A,Ruby,declaration,multiple choice
262,What is the correct way to declare a variable in Ruby?,variable x;,var x = 5;,x = 5,C,Ruby,declaration,multiple choice
263,Which of the following is a valid way to declare an empty array in Ruby?,array = new Array(),array = {},array = [],C,Ruby,declaration,multiple choice
264,How do you declare a constant variable in Ruby?,ConstantVar = 42,constant_var: 42,constVar => 42,A,Ruby,declaration,multiple choice
265,What is the correct syntax for declaring and initializing a Ruby hash (dictionary)?,hash = {},hash = [],hash = new Hash(),A,Ruby,declaration,multiple choice
266,"To declare a variable in Ruby with global scope, you would prefix the variable name with:",@,#,$,C,Ruby,declaration,multiple choice
267,How do you declare a local variable in Ruby within a method or block?,@local_var,$local_var,local_var,C,Ruby,declaration,multiple choice
268,What is the correct way to declare a class variable in Ruby?,@class_var,@@class_var,#class_var,B,Ruby,declaration,multiple choice
269,"In Ruby, how would you declare a string containing special characters without interpreting them?",raw_string',"""raw_string""",%q(raw_string),A,Ruby,declaration,multiple choice
270,"To declare a range of numbers from 1 to 10 in Ruby, you would use:",(1..10),"[1, 10]","{1, 10}",A,Ruby,declaration,multiple choice
271,"When declaring a symbol in Ruby, which syntax is typically used?",:SymbolName,"""SymbolName""",@SymbolName,A,Ruby,declaration,multiple choice
272,How do you declare a variable in Ruby with instance scope within a class or module?,@instance_var,#instance_var,$instance_var,A,Ruby,declaration,multiple choice
