ID,question,choice_a,choice_b,choice_c,answer,coding_language,category,method
1,Which of the following correctly checks if the value of x is between 5 and 10 (inclusive)?,if 5 < x < 10:,if 5 <= x <= 10:,if x > 5 and x < 10:,B,Python,control flow,multiple choice
2,How do you begin a for-loop that iterates over a list my_list?,for item in my_list:,for my_list as item:,loop item in my_list:,A,Python,control flow,multiple choice
3,Which keyword is used to exit a loop prematurely?,break,exit,return,A,Python,control flow,multiple choice
4,Which keyword lets you test a default condition if the previous conditions were not met?,elsif,otherwise,else,C,Python,control flow,multiple choice
5,Which of the following correctly initializes a while loop that runs as long as x is less than 10?,while x < 10:,for x < 10:,repeat while x < 10:,A,Python,control flow,multiple choice
6,Which of the following is the correct syntax for an else if condition?,elif condition:,else if condition:,elseif condition:,A,Python,control flow,multiple choice
7,What does the continue keyword do in a loop?,Stops and exits the loop.,Skips the current iteration and continues to the next.,Pauses the loop until a user input is received.,B,Python,control flow,multiple choice
8,"What does the following code output? x = 10
if x > 10:
    print(""Greater"")
elif x < 10:
    print(""Lesser"")
else:
    print(""Equal"")",Greater,Lesser,Equal,C,Python,control flow,multiple choice
9,"To iterate over a range of numbers from 1 to 5 (inclusive), which of the following would you use?","for i in range(1, 5):",for i in range(5):,"for i in range(1, 6):",C,Python,control flow,multiple choice
10,How can you handle exceptions using control flow?,Using the except block.,Using the handle keyword.,Using the try block alone.,A,Python,control flow,multiple choice
11,Which keyword is used to handle exceptions?,catch,try,except,C,Python,control flow,multiple choice
12,"Which of the following is used to ensure a block of code always runs, regardless of exceptions?",finally:,always:,ensure:,A,Python,control flow,multiple choice
13,Which statement correctly checks multiple conditions using the and operator?,if x > 5 & y < 10:,if x > 5 and y < 10:,if x > 5 && y < 10:,B,Python,control flow,multiple choice
14,What does the pass statement do in Python?,Skips the current iteration of the loop.,Exits the program immediately.,Does nothing and acts as a placeholder.,C,Python,control flow,multiple choice
15,"In a try...except block, what does the else block do?",Runs if an exception occurs.,Runs if no exception occurs.,Runs regardless of whether an exception occurs or not.,B,Python,control flow,multiple choice
16,Which of the following correctly checks if a variable x is not equal to 5?,if x != 5:,if x =! 5:,if x <> 5:,A,Python,control flow,multiple choice
17,"To iterate over the characters in a string word, which syntax would you use?",for char in word:,for word as char:,for char from word:,A,Python,control flow,multiple choice
18,Which of the following will print numbers 0 to 4?,for i in range(4): print(i),"for i in range(1, 5): print(i)",for i in range(5): print(i),C,Python,control flow,multiple choice
19,Which operator checks if both conditions are false?,or,not,nor,B,Python,control flow,multiple choice
